_id,draft_year,birthYear,height,salary,PER,PTS,TS%,MP,OWS,DWS,WS/48,FG%,AST,T,draft_team_Atlanta Hawks,draft_team_Boston Celtics,draft_team_Charlotte Bobcats,draft_team_Charlotte Hornets,draft_team_Chicago Bulls,draft_team_Cleveland Cavaliers,draft_team_Dallas Mavericks,draft_team_Denver Nuggets,draft_team_Detroit Pistons,draft_team_Golden State Warriors,draft_team_Houston Rockets,draft_team_Indiana Pacers,draft_team_Kansas City Kings,draft_team_Los Angeles Clippers,draft_team_Los Angeles Lakers,draft_team_Memphis Grizzlies,draft_team_Miami Heat,draft_team_Milwaukee Bucks,draft_team_Minnesota Timberwolves,draft_team_New Jersey Nets,draft_team_New Orleans Hornets,draft_team_New Orleans Pelicans,draft_team_New Orleans/Oklahoma City Hornets,draft_team_New York Knicks,draft_team_Oklahoma City Thunder,draft_team_Orlando Magic,draft_team_Philadelphia 76ers,draft_team_Phoenix Suns,draft_team_Portland Trail Blazers,draft_team_Sacramento Kings,draft_team_San Antonio Spurs,draft_team_San Diego Clippers,draft_team_Seattle SuperSonics,draft_team_Toronto Raptors,draft_team_Utah Jazz,draft_team_Vancouver Grizzlies,draft_team_Washington Bullets,draft_team_Washington Wizards,position_Center,position_Point Guard,position_Power Forward,position_Shooting Guard,position_Small Forward
wolfjo01,1987.0,1964.0,211.0,602510.25,7.975,374.75,0.449,1335.0,-0.675,0.7999999999999999,0.00425,0.4105,94.75,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
woodle01,1984.0,1962.0,190.0,171285.7142857143,14.928571428571429,283.7142857142857,0.535,640.4285714285714,0.8571428571428571,0.2857142857142857,0.10485714285714286,0.4238571428571429,108.14285714285714,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
woodsmi01,1980.0,1958.0,196.0,375000.0,17.5,1329.0,0.548,1998.0,3.0,1.2,0.101,0.496,143.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
woolror01,1981.0,1959.0,206.0,300000.0,19.55,1607.5,0.5840000000000001,2532.0,6.300000000000001,1.0,0.1365,0.5245,174.0,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wrighan01,2005.0,1984.0,201.0,1712090.0,7.385714285714286,280.2857142857143,0.48857142857142855,987.8571428571429,-0.07142857142857144,0.6285714285714287,0.021714285714285717,0.41871428571428576,53.57142857142857,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wrighbr03,2007.0,1987.0,211.0,3002923.2,16.7,151.2,0.553,364.4,0.62,0.28,0.11399999999999999,0.5210000000000001,10.8,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wrighju01,2007.0,1987.0,203.0,2116714.25,12.975,226.75,0.52575,762.25,0.175,0.775,0.06399999999999999,0.503,45.5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wrighlo02,1996.0,1975.0,188.0,2890944.0,14.079999999999998,566.4,0.5050000000000001,1666.2,1.42,1.32,0.08159999999999999,0.4662,49.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wrighsh01,1994.0,1973.0,211.0,2686666.6666666665,13.16666666666667,439.6666666666667,0.5076666666666667,994.1666666666666,-0.21666666666666665,0.6666666666666666,0.024166666666666666,0.4723333333333333,26.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
youngth01,2007.0,1988.0,203.0,3256748.4,16.619999999999997,906.8,0.5491999999999999,2033.8,2.62,2.32,0.11979999999999999,0.5104,79.4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
